Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.40540374063459256,2.921503355852542,-0.7357889085528299,Nexus,3
MARS,X11,PoW,32221574.820996,33000000.0,-0.2210181479465359,-0.9336995200978924,0.024612370316274532,MarsCoin ,0
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.150081936679764,-2.201993191691925,0.32796922034430837,Crypto,0
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.1463508686308421,-1.3030557514817491,0.1459249936263244,Anarchists Prime,0
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.42079299427279954,1.7798708060344897,-0.4527855377020642,Droidz,3
BSC,X11,PoW,15863837.5,21000000.0,-0.22130305581444834,-0.9337003020510296,0.024618570724798474,BowsCoin,0
SQL,X11,PoS/PoW,329200.01639,0.0,-0.3656230668387328,0.9845306141619731,-0.282160149076326,Squall Coin,3
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.16768937740845177,-1.1252728996977588,0.0033875160382400064,Song Coin,0
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.16688157250906663,-1.125274645403436,0.0033702826993006222,BitZeny,0
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.2920701176129188,0.8027624565784275,-0.19508573811819344,Diggits,3
EXP,Ethash,PoW,10495278.0,16906397.0,-0.16459762169044753,-1.9633046376087266,0.32938289110688296,Expanse,0
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.27481637184904284,1.7497460241776308,-0.4770396447752693,Paycon,3
SC,Blake2b,PoW,33098296530.0,0.0,0.3680157534473495,-2.038733758480699,0.31665016424277403,Siacoin,0
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.30766715922395177,0.8089783039173425,-0.28504306532495827,Emercoin,3
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.23958993186415303,1.802485752489425,-0.5293712695800222,EverGreenCoin,3
MND,X11,PoW,15867695.0,16000000.0,-0.2213384665626698,-0.9336979753863253,0.02461912924162173,MindCoin,0
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.14650684174236445,-1.303038085957744,0.14592680459434548,I0coin,0
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.0752478924923338,0.9389346766463249,-0.37692641740923943,Decred,3
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.16552372293457884,-1.1252037748026211,0.003334855956537101,Revolution VR,0
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.13076926411150822,-2.2466326641890775,0.13754982590715778,HOdlcoin,0
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.31508386632850643,0.8094177852659868,-0.28492189900426007,EDRCoin,3
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.0674174326257511,1.1706967683995992,-0.41246512647275446,Hitcoin,3
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.16812935658893674,-1.1251996974583844,0.0033905793076192473,Gamecredits,0
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.3151475938725654,0.809423700747794,-0.2849210451079568,DubaiCoin,3
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.27200483256525876,-1.304637648689193,0.13705930331814414,CarpeDiemCoin,0
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.23170640278475646,1.4576552166422543,-0.4484217135799518,PWR Coin,3
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.33754278619151074,0.9872592471157635,-0.42744039158945435,BillaryCoin,3
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2919387340891698,0.8026830116511949,-0.1950816132614603,GPU Coin,3
ADZ,X11,PoW,45110324.0,84000000.0,-0.22049904223864608,-0.9337182236906424,0.024602834613420055,Adzcoin,0
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.14640703143965994,-2.210670581110463,0.2754663201926433,SoilCoin,0
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.16837644343865266,-1.1252658388078,0.003401685599564871,YoCoin,0
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.1677120428971262,-2.2212031195537665,0.3237333319545366,SibCoin,0
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.38716792444392295,1.1785918445893473,-0.40627417742615846,EuropeCoin,3
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.859666900491895,0.7711117860308249,-0.2171042955392149,ZeitCoin,3
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.3149475772734122,0.8094096898138948,-0.2849241238386559,SwingCoin,3
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.06601343166520635,0.5586098287766005,-0.3034417042537569,SafeExchangeCoin,3
NEBU,PoS,PoS,20000000.0,20000000.0,-0.35238868031942966,1.5530822533988113,-0.08900123586359987,Nebuchadnezzar,3
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.16935599983937374,-1.1251945424120737,0.003416528797046678,Francs,0
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.22130168157314228,-0.9337030216674558,0.024618779153236497,BolivarCoin,0
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.38784276272723006,1.1787838270240882,-0.4062764543482712,Ratecoin,3
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.31369063207243997,0.809323479215977,-0.2849436319736846,Revenu,3
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.3113580944233012,0.8091889274161753,-0.2849820591692469,Clockcoin,3
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.3530466611670452,1.453729306102257,-0.4454665740139611,VIP Tokens,3
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.38873458935482696,1.1787112153440877,-0.40625090529120367,BitSend,3
OMNI,Scrypt,PoW,616448.0,616448.0,-0.16956619194370817,-1.1251878443735648,0.0034204665158403557,Omni,0
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.3576956560343963,1.5428026513712247,-0.03213042475815361,Let it Ride,3
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.31383552015781735,0.9866614652436243,-0.42789832055115373,PutinCoin,3
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.3375808695781614,0.9872564224902382,-0.427439324737932,iBankCoin,3
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3360198988910827,0.9872676701794921,-0.42747390532104745,Frankywillcoin,3
